                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1106,                 4.2064,                 4.2374,                0.00429,                0.84995,                0.01457,                0.00421,                 3.0518,                 4.2515,                 4.1548,              0.0001625,              0.0001625,              0.0001625
                      2,                 3.1341,                 4.1332,                 4.1837,                0.00411,                0.84817,                0.02046,                0.00604,                 3.0261,                  4.241,                 4.1364,             0.00032413,             0.00032413,             0.00032413
                      3,                 3.1649,                 4.0806,                 4.1531,                0.00403,                0.85298,                0.03867,                0.01154,                 2.9264,                 4.1888,                 4.0698,             0.00047191,             0.00047191,             0.00047191
                      4,                 3.0971,                 3.9562,                 4.0885,                0.00406,                0.86791,                0.04882,                0.01203,                 2.7098,                 4.0682,                 3.9079,             0.00060583,             0.00060583,             0.00060583
                      5,                 3.0013,                 3.8696,                 4.0172,                0.00326,                0.89243,                0.04026,                0.01056,                 2.6511,                 4.0108,                 3.8176,             0.00072588,             0.00072588,             0.00072588
                      6,                 2.9983,                 3.8446,                  3.923,                0.00233,                0.58975,                 0.0274,                0.00746,                 2.7376,                 4.0184,                 3.8498,             0.00083208,             0.00083208,             0.00083208
                      7,                 2.9388,                 3.7798,                 3.8166,                0.00411,                0.84791,                0.01753,                0.00545,                 2.9773,                 4.0849,                 3.8796,             0.00092441,             0.00092441,             0.00092441
                      8,                 2.8591,                 3.7615,                 3.7103,                 0.7541,                0.10577,                0.02192,                0.00596,                  2.692,                 5.9628,                 3.5084,              0.0009035,              0.0009035,              0.0009035
                      9,                 2.8917,                  3.723,                 3.6268,                0.51617,                0.10605,                0.02129,                0.00605,                   2.66,                 4.9072,                 3.4458,              0.0009035,              0.0009035,              0.0009035
                     10,                 2.9339,                  3.677,                 3.5749,                0.53772,                 0.0301,                0.02222,                  0.006,                 3.1258,                 4.3019,                 4.0021,               0.000854,               0.000854,               0.000854
                     11,                 2.7631,                  3.648,                  3.469,                0.51506,                0.01568,                 0.0171,                0.00434,                 2.8233,                 4.0973,                 3.6816,              0.0008045,              0.0008045,              0.0008045
                     12,                 2.7794,                 3.5948,                 3.4553,                0.51921,                0.06192,                 0.0283,                0.00753,                 2.6957,                 5.2849,                 3.3836,               0.000755,               0.000755,               0.000755
                     13,                 2.7405,                 3.5524,                  3.401,                0.57148,                 0.1498,                0.03811,                0.01057,                 2.7011,                  4.351,                 3.2935,              0.0007055,              0.0007055,              0.0007055
                     14,                 2.7542,                  3.484,                 3.3489,                0.56125,                  0.066,                0.05173,                0.01244,                 2.6384,                 4.0593,                  3.196,               0.000656,               0.000656,               0.000656
                     15,                   2.66,                 3.4709,                 3.2704,                  0.342,                0.11286,                0.05753,                0.01563,                 2.6516,                 4.0837,                 3.2069,              0.0006065,              0.0006065,              0.0006065
                     16,                 2.6278,                 3.8964,                 3.2818,                0.41378,                0.18431,                0.10783,                0.02755,                 2.5569,                 3.9775,                 3.1361,               0.000557,               0.000557,               0.000557
                     17,                 2.5751,                  3.684,                 3.2126,                 0.5651,                 0.1448,                0.15514,                0.03115,                  2.507,                 3.6859,                 3.0855,              0.0005075,              0.0005075,              0.0005075
                     18,                 2.5136,                 3.5786,                 3.1844,                 0.3295,                0.29775,                0.10631,                0.03137,                  2.451,                  4.537,                 3.0265,               0.000458,               0.000458,               0.000458
                     19,                  2.414,                 3.4881,                  3.104,                0.36883,                 0.2029,                0.10254,                0.03336,                 2.3688,                 3.7364,                 3.0092,              0.0004085,              0.0004085,              0.0004085
                     20,                  2.442,                  3.481,                 3.1221,                 0.3985,                0.19842,                 0.3561,                0.06094,                  2.356,                 3.6577,                 3.0136,               0.000359,               0.000359,               0.000359
                     21,                 2.3292,                 3.4102,                 3.1075,                0.35752,                0.27449,                0.10676,                0.03612,                 2.3108,                  3.369,                 2.9759,              0.0003095,              0.0003095,              0.0003095
                     22,                 2.3486,                 3.3849,                 3.0942,                0.38965,                0.22639,                0.11177,                0.04021,                 2.2809,                 3.2516,                  2.963,                0.00026,                0.00026,                0.00026
                     23,                 2.3345,                 3.3535,                 3.0771,                 0.3923,                0.16096,                0.10292,                0.03803,                 2.2592,                 3.2593,                 2.9488,              0.0002105,              0.0002105,              0.0002105
                     24,                 2.3354,                 3.2234,                 3.0156,                0.40338,                0.15358,                0.11477,                0.04011,                 2.2691,                 3.1997,                   2.94,               0.000161,               0.000161,               0.000161
                     25,                 2.3253,                 3.2227,                  3.048,                0.41894,                0.16682,                 0.1296,                0.04781,                 2.2356,                 3.1348,                 2.9268,              0.0001115,              0.0001115,              0.0001115
